Date,Value
2019-10-13,149017175175.0
2019-10-12,149647267388.0
2019-10-11,153487616950.0
2019-10-10,154123207331.0
2019-10-09,154554141481.0
2019-10-08,148765692600.0
2019-10-07,147583802294.0
2019-10-06,141404431248.0
2019-10-05,146005746587.5
2019-10-04,146998007681.0
2019-10-03,147432276562.0
2019-10-02,147416445400.0
2019-10-01,149235196556.0
2019-09-30,148813827525.0
2019-09-29,147029712812.5
2019-09-28,146074506100.0
2019-09-27,144090919125.0
2019-09-26,150351575843.75
2019-09-25,152384905275.0
2019-09-24,156192719750.0
2019-09-23,178606686525.0
2019-09-22,179544302606.0
2019-09-21,179604197900.0
2019-09-20,182760346743.75
2019-09-19,184017643125.0
2019-09-18,182631360275.0
2019-09-17,183448642187.5
2019-09-16,181650077744.0
2019-09-15,184994851825.0
2019-09-14,185732623575.0
2019-09-13,183879352600.0
2019-09-12,186557902788.0
2019-09-11,181103480075.0
2019-09-10,180795798394.0
2019-09-09,184498165125.0
2019-09-08,186410250000.0
2019-09-07,188492005625.0
2019-09-06,195793046150.0
2019-09-05,188539129781.0
2019-09-04,189904962500.0
2019-09-03,191845565331.25
2019-09-02,186304012125.0
2019-09-01,174929900100.0
2019-08-31,171523183175.0
2019-08-30,172258004750.0
2019-08-29,173108223750.0
2019-08-28,173911650488.0
2019-08-27,181453947262.0
2019-08-26,184443398438.0
2019-08-25,179909466843.75
2019-08-24,180381096000.0
2019-08-23,180435273250.0
2019-08-22,180880663875.0
2019-08-21,180322506000.0
2019-08-20,194964305440.183
2019-08-19,191367378431.0
2019-08-18,184925365800.0
2019-08-17,181010545000.0
2019-08-16,186188605200.0
2019-08-15,184749029775.0
2019-08-14,182718261750.0
2019-08-13,193673728875.0
2019-08-12,203820128250.0
2019-08-11,205295553594.0
2019-08-10,202030164475.0
2019-08-09,212024540419.0
2019-08-08,212968225856.0
2019-08-07,210736786134.175
2019-08-06,208464776025.0
2019-08-05,211993155250.0
2019-08-04,196449266606.25
2019-08-03,193806310500.0
2019-08-02,187765640781.25
2019-08-01,185909296075.0
2019-07-31,178952292669.0
2019-07-30,172796348350.0
2019-07-29,169339270650.0
2019-07-28,169392572703.0
2019-07-27,168361683482.408
2019-07-26,175926448088.0
2019-07-25,180234043125.0
2019-07-24,171596908912.0
2019-07-23,179881506269.0
